    x1     x2    f(x1, x2)

  0.40  -0.78   0.00000000

  0.43  -0.78   0.00000000

  0.46  -0.78   0.00000000

  0.49  -0.78   0.00000000

  0.52  -0.78   0.00000000

  0.56  -0.78   0.00000000

  0.59  -0.78   0.00000000

  0.62  -0.78   0.00000000

  0.65  -0.78   0.00000000

  0.68  -0.78   0.00000000

  0.71  -0.78   0.00000000

  0.75  -0.78   0.00000000

  0.78  -0.78   0.00000000

  0.81  -0.78   0.00000000

  0.84  -0.78   0.00000000

  0.87  -0.78   0.00000000

  0.90  -0.78   0.00000000

  0.94  -0.78   0.00000000

  0.97  -0.78   0.00000000

  1.00  -0.78   0.00000000

 -1.00  -0.75   0.00000000

 -0.97  -0.75   0.00000000

 -0.94  -0.75   0.00000000

 -0.90  -0.75   0.00000000

 -0.87  -0.75   0.00000000

 -0.84  -0.75   0.00000000

 -0.81  -0.75   0.00000000

 -0.78  -0.75   0.00000000

 -0.75  -0.75   0.00000000

 -0.71  -0.75   0.00000000

 -0.68  -0.75   0.00000000

 -0.65  -0.75   0.00000000

 -0.62  -0.75   0.00000000

 -0.59  -0.75   0.00000000

 -0.56  -0.75   0.00000000

 -0.52  -0.75   0.00000000

 -0.49  -0.75   0.00000000

 -0.46  -0.75   0.00000000

 -0.43  -0.75   0.00000000

 -0.40  -0.75   0.00000000

 -0.37  -0.75   0.00000000

 -0.33  -0.75   0.00000000

 -0.30  -0.75   0.00000000

 -0.27  -0.75   0.00000000

 -0.24  -0.75   0.00000000

 -0.21  -0.75   0.00000000

 -0.17  -0.75   0.00000000

 -0.14  -0.75   0.00000000

 -0.11  -0.75   0.00000000

 -0.08  -0.75   0.00000000

 -0.05  -0.75   0.00000000

 -0.02  -0.75   0.00000000

  0.02  -0.75   0.00000000

  0.05  -0.75   0.00000000

  0.08  -0.75   0.00000000

  0.11  -0.75   0.00000000

  0.14  -0.75   0.00000000

  0.17  -0.75   0.00000000

  0.21  -0.75   0.00000000

  0.24  -0.75   0.00000000

  0.27  -0.75   0.00000000

  0.30  -0.75   0.00000000

  0.33  -0.75   0.00000000

  0.37  -0.75   0.00000000

  0.40  -0.75   0.00000000

  0.43  -0.75   0.00000000

  0.46  -0.75   0.00000000

  0.49  -0.75   0.00000000

  0.52  -0.75   0.00000000

  0.56  -0.75   0.00000000

  0.59  -0.75   0.00000000

  0.62  -0.75   0.00000000

  0.65  -0.75   0.00000000

  0.68  -0.75   0.00000000

  0.71  -0.75   0.00000000

  0.75  -0.75   0.00000000

  0.78  -0.75   0.00000000

  0.81  -0.75   0.00000000

  0.84  -0.75   0.00000000

  0.87  -0.75   0.00000000

  0.90  -0.75   0.00000000

  0.94  -0.75   0.00000000

  0.97  -0.75   0.00000000

  1.00  -0.75   0.00000000

 -1.00  -0.71   0.00000000

 -0.97  -0.71   0.00000000

 -0.94  -0.71   0.00000000

 -0.90  -0.71   0.00000000

 -0.87  -0.71   0.00000000

 -0.84  -0.71   0.00000000

 -0.81  -0.71   0.00000000

 -0.78  -0.71   0.00000000

 -0.75  -0.71   0.00000000

 -0.71  -0.71   0.00000000

 -0.68  -0.71   0.00000000

 -0.65  -0.71   0.00000000

 -0.62  -0.71   0.00000000

 -0.59  -0.71   0.00000000

 -0.56  -0.71   0.00000000

 -0.52  -0.71   0.00000000

 -0.49  -0.71   0.00000000

 -0.46  -0.71   0.00000000

 -0.43  -0.71   0.00000000

 -0.40  -0.71   0.00000000

 -0.37  -0.71   0.00000000

 -0.33  -0.71   0.00000000

 -0.30  -0.71   0.00000000

 -0.27  -0.71   0.00000000

 -0.24  -0.71   0.00000000

 -0.21  -0.71   0.00000000

 -0.17  -0.71   0.00000000

 -0.14  -0.71   0.00000000

 -0.11  -0.71   0.00000000

 -0.08  -0.71   0.00000000

 -0.05  -0.71   0.00000000

 -0.02  -0.71   0.00000000

  0.02  -0.71   0.00000000

  0.05  -0.71   0.00000000

  0.08  -0.71   0.00000000

  0.11  -0.71   0.00000000

  0.14  -0.71   0.00000000

  0.17  -0.71   0.00000000

  0.21  -0.71   0.00000000

  0.24  -0.71   0.00000000

  0.27  -0.71   0.00000000

  0.30  -0.71   0.00000000

  0.33  -0.71   0.00000000

  0.37  -0.71   0.00000000

  0.40  -0.71   0.00000000

  0.43  -0.71   0.00000000

  0.46  -0.71   0.00000000

  0.49  -0.71   0.00000000

  0.52  -0.71   0.00000000

  0.56  -0.71   0.00000000

  0.59  -0.71   0.00000000

  0.62  -0.71   0.00000000

  0.65  -0.71   0.00000000

  0.68  -0.71   0.00000000

  0.71  -0.71   0.00000000

  0.75  -0.71   0.00000000

  0.78  -0.71   0.00000000

  0.81  -0.71   0.00000000

  0.84  -0.71   0.00000000

  0.87  -0.71   0.00000000

  0.90  -0.71   0.00000000

  0.94  -0.71   0.00000000

  0.97  -0.71   0.00000000

  1.00  -0.71   0.00000000

 -1.00  -0.68   0.00000000

 -0.97  -0.68   0.00000000

 -0.94  -0.68   0.00000000

 -0.90  -0.68   0.00000000

 -0.87  -0.68   0.00000000

 -0.84  -0.68   0.00000000

 -0.81  -0.68   0.00000000

 -0.78  -0.68   0.00000000

 -0.75  -0.68   0.00000000

 -0.71  -0.68   0.00000000

 -0.68  -0.68   0.00000000

 -0.65  -0.68   0.00000000

 -0.62  -0.68   0.00000000

 -0.59  -0.68   0.00000000

 -0.56  -0.68   0.00000000

 -0.52  -0.68   0.00000000

 -0.49  -0.68   0.00000000

 -0.46  -0.68   0.00000000

 -0.43  -0.68   0.00000000

 -0.40  -0.68   0.00000000

 -0.37  -0.68   0.00000000

 -0.33  -0.68   0.00000000

 -0.30  -0.68   0.00000000

 -0.27  -0.68   0.00000000

 -0.24  -0.68   0.00000000

 -0.21  -0.68   0.00000000

 -0.17  -0.68   0.00000000

 -0.14  -0.68   0.00000000

 -0.11  -0.68   0.00000000

 -0.08  -0.68   0.00000000

 -0.05  -0.68   0.00000000

 -0.02  -0.68   0.00000000

  0.02  -0.68   0.00000000

  0.05  -0.68   0.00000000

  0.08  -0.68   0.00000000

  0.11  -0.68   0.00000000

  0.14  -0.68   0.00000000

  0.17  -0.68   0.00000000

  0.21  -0.68   0.00000000

  0.24  -0.68   0.00000000

  0.27  -0.68   0.00000000

  0.30  -0.68   0.00000000

  0.33  -0.68   0.00000000

  0.37  -0.68   0.00000000

  0.40  -0.68   0.00000000

  0.43  -0.68   0.00000000

  0.46  -0.68   0.00000000

  0.49  -0.68   0.00000000

  0.52  -0.68   0.00000000

  0.56  -0.68   0.00000000

  0.59  -0.68   0.00000000

  0.62  -0.68   0.00000000

  0.65  -0.68   0.00000000

  0.68  -0.68   0.00000000

  0.71  -0.68   0.00000000

  0.75  -0.68   0.00000000

  0.78  -0.68   0.00000000

  0.81  -0.68   0.00000000

  0.84  -0.68   0.00000000

  0.87  -0.68   0.00000000

  0.90  -0.68   0.00000000

  0.94  -0.68   0.00000000

  0.97  -0.68   0.00000000

  1.00  -0.68   0.00000000

 -1.00  -0.65   0.00000000

 -0.97  -0.65   0.00000000

 -0.94  -0.65   0.00000000

 -0.90  -0.65   0.00000000

 -0.87  -0.65   0.00000000

 -0.84  -0.65   0.00000000

 -0.81  -0.65   0.00000000

 -0.78  -0.65   0.00000000

 -0.75  -0.65   0.00000000

 -0.71  -0.65   0.00000000

 -0.68  -0.65   0.00000000

 -0.65  -0.65   0.00000000

 -0.62  -0.65   0.00000000

 -0.59  -0.65   0.00000000

 -0.56  -0.65   0.00000000

 -0.52  -0.65   0.00000000

 -0.49  -0.65   0.00000000

 -0.46  -0.65   0.00000000

 -0.43  -0.65   0.00000000

 -0.40  -0.65   0.00000000

 -0.37  -0.65   0.00000000

 -0.33  -0.65   0.00000000

 -0.30  -0.65   0.00000000

 -0.27  -0.65   0.00000000

 -0.24  -0.65   0.00000000

 -0.21  -0.65   0.00000000

 -0.17  -0.65   0.00000000

 -0.14  -0.65   0.00000000

 -0.11  -0.65   0.00000000

 -0.08  -0.65   0.00000000

 -0.05  -0.65   0.00000000

 -0.02  -0.65   0.00000000

  0.02  -0.65   0.00000000

  0.05  -0.65   0.00000000

  0.08  -0.65   0.00000000

  0.11  -0.65   0.00000000

  0.14  -0.65   0.00000000

  0.17  -0.65   0.00000000

  0.21  -0.65   0.00000000

  0.24  -0.65   0.00000000

  0.27  -0.65   0.00000000

  0.30  -0.65   0.00000000

  0.33  -0.65   0.00000000

  0.37  -0.65   0.00000000

  0.40  -0.65   0.00000000

  0.43  -0.65   0.00000000

  0.46  -0.65   0.00000000

  0.49  -0.65   0.00000000

  0.52  -0.65   0.00000000

  0.56  -0.65   0.00000000

  0.59  -0.65   0.00000000

  0.62  -0.65   0.00000000

  0.65  -0.65   0.00000000

  0.68  -0.65   0.00000000

  0.71  -0.65   0.00000000

  0.75  -0.65   0.00000000

  0.78  -0.65   0.00000000

  0.81  -0.65   0.00000000

  0.84  -0.65   0.00000000

  0.87  -0.65   0.00000000

  0.90  -0.65   0.00000000

  0.94  -0.65   0.00000000

  0.97  -0.65   0.00000000

  1.00  -0.65   0.00000000

 -1.00  -0.62   0.00000000

 -0.97  -0.62   0.00000000

 -0.94  -0.62   0.00000000

 -0.90  -0.62   0.00000000

 -0.87  -0.62   0.00000000

 -0.84  -0.62   0.00000000

 -0.81  -0.62   0.00000000

 -0.78  -0.62   0.00000000

 -0.75  -0.62   0.00000000

 -0.71  -0.62   0.00000000

 -0.68  -0.62   0.00000000

 -0.65  -0.62   0.00000000

 -0.62  -0.62   0.00000000

 -0.59  -0.62   0.00000000

 -0.56  -0.62   0.00000000

