    x1     x2    f(x1, x2)
 -0.54  -0.94 -98276.92986650

 -0.52  -0.94 -98150.02830340

 -0.50  -0.94 -98014.38481102

 -0.49  -0.94 -97869.63800912

 -0.47  -0.94 -97715.66420881

 -0.45  -0.94 -97552.35448669

 -0.43  -0.94 -97379.55927851

 -0.41  -0.94 -97197.57667254

 -0.39  -0.94 -97006.29861570

 -0.37  -0.94 -96804.94073099

 -0.35  -0.94 -96593.80566277

 -0.33  -0.94 -96373.27011515

 -0.31  -0.94 -96142.19393257

 -0.29  -0.94 -95901.29261722

 -0.27  -0.94 -95650.34316987

 -0.25  -0.94 -95388.60107773

 -0.23  -0.94 -95116.82842067

 -0.21  -0.94 -94833.69490793

 -0.19  -0.94 -94540.11272258

 -0.17  -0.94 -94234.87360290

 -0.15  -0.94 -93918.86381071

 -0.13  -0.94 -93591.03830868

 -0.11  -0.94 -93251.93617370

 -0.09  -0.94 -92900.29218146

 -0.07  -0.94 -92536.48708858

 -0.05  -0.94 -92160.77334580

 -0.03  -0.94 -91771.86403932

 -0.01  -0.94 -91369.62863679

  0.01  -0.94 -90954.58190965

  0.03  -0.94 -90525.73593317

  0.05  -0.94 -90082.20267593

  0.07  -0.94 -89625.24922050

  0.09  -0.94 -89152.64730371

  0.11  -0.94 -88664.67727812

  0.13  -0.94 -88161.48036728

  0.15  -0.94 -87641.61282989

  0.17  -0.94 -87105.63902381

  0.19  -0.94 -86550.87927184

  0.21  -0.94 -85979.30813143

  0.23  -0.94 -85388.18023526

  0.25  -0.94 -84778.16070510

  0.27  -0.94 -84147.77157104

  0.29  -0.94 -83494.98979787

  0.31  -0.94 -82820.51465360

  0.33  -0.94 -82120.82384200

  0.35  -0.94 -81396.49734355

  0.37  -0.94 -79238.47986494

  0.39  -0.94 -77050.51022007

  0.41  -0.94 -74832.84760756

  0.43  -0.94 -72582.38160946

  0.45  -0.94 -70301.45349009

  0.47  -0.94 -67990.97669490

  0.49  -0.94 -65648.76547245

  0.50  -0.94 -63277.58360247

  0.52  -0.94 -60879.82445611

  0.54  -0.94 -58455.89281235

  0.56  -0.94 -57786.06370001

  0.58  -0.94 -55360.14280889

  0.60  -0.94 -52914.72729662

  0.62  -0.94 -52268.58569405

  0.64  -0.94 -49832.84740721

  0.66  -0.94 -47383.90942786

  0.68  -0.94 -46772.72556726

  0.70  -0.94 -44345.38520190

  0.72  -0.94 -41909.68827466

  0.74  -0.94 -41344.16799267

  0.76  -0.94 -38940.60689206

  0.78  -0.94 -36533.06392492

  0.80  -0.94 -36023.14621488

  0.82  -0.94 -33655.89295019

  0.84  -0.94 -33165.39549725

  0.86  -0.94 -30842.50562655

  0.88  -0.94 -30373.96075952

  0.90  -0.94 -28098.68606668

  0.92  -0.94 -27654.41376404

  0.94  -0.94 -25429.13240540

  0.96  -0.94 -25011.45611108

  0.98  -0.94 -22838.46196280

 -1.00  -0.92 -111468.00354634

 -0.98  -0.92 -111591.35803897

 -0.96  -0.92 -111702.82478066

 -0.94  -0.92 -111803.72671268

 -0.92  -0.92 -111894.37498980

 -0.90  -0.92 -111974.23869250

 -0.88  -0.92 -112042.93792919

 -0.86  -0.92 -112101.53458754

 -0.84  -0.92 -112150.03904832

 -0.82  -0.92 -112188.00304077

 -0.80  -0.92 -112215.22538487

 -0.78  -0.92 -112232.16214971

 -0.76  -0.92 -112239.37014175

 -0.74  -0.92 -112236.21085630

 -0.72  -0.92 -112222.74116439

 -0.70  -0.92 -112199.12290076

 -0.68  -0.92 -112165.43305654

 -0.66  -0.92 -112121.44963029

 -0.64  -0.92 -112067.40583607

 -0.62  -0.92 -112002.84791076

 -0.60  -0.92 -111928.09141017

 -0.58  -0.92 -111843.15980086

 -0.56  -0.92 -111747.88599679

 -0.54  -0.92 -111642.28708052

 -0.52  -0.92 -111526.28587314

 -0.50  -0.92 -111399.93248928

 -0.49  -0.92 -111263.30591480

 -0.47  -0.92 -111115.72844833

 -0.45  -0.92 -110957.54686366

 -0.43  -0.92 -110788.62540967

 -0.41  -0.92 -110609.03281460

 -0.39  -0.92 -110418.46816704

 -0.37  -0.92 -110216.61515973

 -0.35  -0.92 -110003.91538158

 -0.33  -0.92 -109780.25706954

 -0.31  -0.92 -109544.71323424

 -0.29  -0.92 -109298.03568488

 -0.27  -0.92 -109039.60591747

 -0.25  -0.92 -108769.25634019

 -0.23  -0.92 -108487.08376679

 -0.21  -0.92 -108192.40210400

 -0.19  -0.92 -107885.62164977

 -0.17  -0.92 -107566.17651827

 -0.15  -0.92 -107234.28438855

 -0.13  -0.92 -106889.58622681

 -0.11  -0.92 -106531.63986869

 -0.09  -0.92 -106160.11724586

 -0.07  -0.92 -105774.61470181

 -0.05  -0.92 -105375.78600798

 -0.03  -0.92 -104962.57670681

 -0.01  -0.92 -104533.96946488

  0.01  -0.92 -104091.43936399

  0.03  -0.92 -103633.48082306

  0.05  -0.92 -103159.38349066

  0.07  -0.92 -102669.81240310

  0.09  -0.92 -102163.26444788

  0.11  -0.92 -101640.21173870

  0.13  -0.92 -101099.46092618

  0.15  -0.92 -100540.66128136

  0.17  -0.92 -99963.58975349

  0.19  -0.92 -99367.45038186

  0.21  -0.92 -98751.40500914

  0.23  -0.92 -98114.41942183

  0.25  -0.92 -97455.85617016

  0.27  -0.92 -96775.98166014

  0.29  -0.92 -96071.92002005

  0.31  -0.92 -95343.60035357

  0.33  -0.92 -94589.45497195

  0.35  -0.92 -93807.65195006

  0.37  -0.92 -92995.58367706

  0.39  -0.92 -92152.43681525

  0.41  -0.92 -85866.28676965

  0.43  -0.92 -82141.30426853

  0.45  -0.92 -79839.26824815

  0.47  -0.92 -77508.44321122

  0.49  -0.92 -75149.23548643

  0.50  -0.92 -72760.99725465

  0.52  -0.92 -70345.11417419

  0.54  -0.92 -67904.99256231

  0.56  -0.92 -65441.64614970

  0.58  -0.92 -64729.05197120

  0.60  -0.92 -62264.85749906

  0.62  -0.92 -59784.06653401

  0.64  -0.92 -57287.49437480

  0.66  -0.92 -56623.24864895

  0.68  -0.92 -54143.62579691

  0.70  -0.92 -51654.55213365

  0.72  -0.92 -51027.48790014

  0.74  -0.92 -48565.85485782

  0.76  -0.92 -46099.98249646

  0.78  -0.92 -45520.57430398

  0.80  -0.92 -43091.70400746

  0.82  -0.92 -42526.46433613

  0.84  -0.92 -40138.72065567

  0.86  -0.92 -37753.13464574

  0.88  -0.92 -37248.86476692

  0.90  -0.92 -34910.66699518

  0.92  -0.92 -34428.05614418

  0.94  -0.92 -32139.76604870

  0.96  -0.92 -31680.94227399

  0.98  -0.92 -29444.35990009

 -1.00  -0.90 -118158.79889381

 -0.98  -0.90 -118308.51111190

 -0.96  -0.90 -118444.88290303

 -0.94  -0.90 -118569.46241411

 -0.92  -0.90 -119971.22339651

 -0.90  -0.90 -120089.41113909

 -0.88  -0.90 -120195.00892560

 -0.86  -0.90 -120288.75512104

 -0.84  -0.90 -120370.42051909

 -0.82  -0.90 -120440.27730696

 -0.80  -0.90 -120498.32399954

 -0.78  -0.90 -120544.31135064

 -0.76  -0.90 -120579.15242695

 -0.74  -0.90 -120602.62946788

 -0.72  -0.90 -120614.52893211

 -0.70  -0.90 -120615.17438715

 -0.68  -0.90 -120604.53384009

 -0.66  -0.90 -120582.50661628

 -0.64  -0.90 -120549.40886210

 -0.62  -0.90 -120504.56282135

 -0.60  -0.90 -120448.71851480

 -0.58  -0.90 -120381.60667217

 -0.56  -0.90 -120303.23240957

 -0.54  -0.90 -120213.41010129

 -0.52  -0.90 -120112.24213830

 -0.50  -0.90 -119999.61131179

 -0.49  -0.90 -119875.92294042

 -0.47  -0.90 -119740.56223530

 -0.45  -0.90 -119593.39877456

 -0.43  -0.90 -119434.77873785

 -0.41  -0.90 -119264.79065229

 -0.39  -0.90 -119082.85989041

 -0.37  -0.90 -118888.59408256

 -0.35  -0.90 -118682.55098244

 -0.33  -0.90 -118464.63096876

 -0.31  -0.90 -118234.09171189

 -0.29  -0.90 -117991.71746021

 -0.27  -0.90 -117736.52261125

 -0.25  -0.90 -117468.92878452

 -0.23  -0.90 -117188.24963244

 -0.21  -0.90 -116894.80095525

 -0.19  -0.90 -116587.91656396

 -0.17  -0.90 -116267.94427606

 -0.15  -0.90 -115934.25920369

 -0.13  -0.90 -115587.51171197

 -0.11  -0.90 -115226.11841500

 -0.09  -0.90 -114850.58750307

 -0.07  -0.90 -114460.65246113

 -0.05  -0.90 -114056.03832101

 -0.03  -0.90 -113636.23890452

 -0.01  -0.90 -113201.03202346

  0.01  -0.90 -112750.35610319

  0.03  -0.90 -112283.30544115

  0.05  -0.90 -111800.11554192

  0.07  -0.90 -111300.26697388

  0.09  -0.90 -110782.58854761

  0.11  -0.90 -110247.97214018

  0.13  -0.90 -109694.38145466

  0.15  -0.90 -109122.75164789

  0.17  -0.90 -108530.99262706

  0.19  -0.90 -107920.51118856

  0.21  -0.90 -107288.40598119

  0.23  -0.90 -106635.73058677

  0.25  -0.90 -105960.24802373

  0.27  -0.90 -105263.47352970

  0.29  -0.90 -104540.97425425

  0.31  -0.90 -103793.97568383

  0.33  -0.90 -103022.35566115

  0.35  -0.90 -102221.64462040

  0.37  -0.90 -101391.64135842

  0.39  -0.90 -100533.09758564

  0.41  -0.90 -99637.18773274

  0.43  -0.90 -98706.06424122

  0.45  -0.90 -92319.94044421

  0.47  -0.90 -87237.44198193

  0.49  -0.90 -82058.89620097

  0.50  -0.90 -79662.40211849

  0.52  -0.90 -77239.28924088

  0.54  -0.90 -74790.93684942

  0.56  -0.90 -72320.60955843

  0.58  -0.90 -69829.83551081

  0.60  -0.90 -69087.08912632

  0.62  -0.90 -66597.31049069

  0.64  -0.90 -64093.86917219

  0.66  -0.90 -61578.61156375

  0.68  -0.90 -59051.75745328

  0.70  -0.90 -58383.63342031

